ID,IDCanton,Nombre
187,8,"Vista De Mar                                      "
188,8,"Los Angeles                                       "
189,8,"Facio Y La Mora                                   "
190,8,"Cuadros                                           "
191,9,"Santa Ana                                         "
192,9,"Salitral                                          "
193,9,"Pozos                                             "
194,9,"Matinilla                                         "
195,9,"Rio Oro                                           "
196,9,"Piedades                                          "
197,9,"Brasil                                            "
198,9,"La Mina                                           "
199,9,"San Rafael                                        "
200,10,"Alajuelita                                        "
201,10,"San Josecito                                      "
202,10,"San Antonio O El Llano                            "
203,10,"Concepcion Abajo                                  "
204,10,"San Felipe                                        "
205,10,"Lamparas O Corazon De Jesus                       "
206,10,"Aurora                                            "
207,10,"Concepcion Arriba                                 "
208,10,"Tejarcillos (Juan Rafael Mora)                    "
209,11,"San Isidro                                        "
210,11,"San Rafael                                        "
211,11,"San Pedro                                         "
212,11,"Jesus O Dulce Nombre                              "
213,11,"San Antonio                                       "
214,11,"Las Nubes                                         "
215,11,"Cascajal                                          "
216,11,"Corazon De Jesus                                  "
217,12,"San Ignacio                                       "
218,12,"Tablazo                                           "
219,12,"Chirraca (Parte Este)                             "
220,12,"Agua Blanca (Parte Norte)                         "
221,12,"Guaitil                                           "
222,12,"Toledo                                            "
223,12,"Palmichal                                         "
224,12,"Cangrejal                                         "
225,12,"Ceiba Este                                        "
226,12,"Coyolar                                           "
227,12,"Sabanillas                                        "
228,12,"Teruel                                            "
229,12,"Bijagual                                          "
230,12,"La Cruz                                           "
231,12,"Ococa                                             "
232,12,"Sevilla (Cacao)                                   "
233,12,"Bajo De Jorco                                     "
234,12,"Llano De La Mesa                                  "
235,12,"Zoncuano                                          "
236,12,"Las Limas                                         "
237,12,"Caspirola                                         "
238,12,"San Luis                                          "
239,12,"Escuadra                                          "
240,12,"Bajo Cacao O Cerdas                               "
241,12,"Uruca                                             "
242,12,"Vegas Del Parrita                                 "
243,12,"Linda Vista                                       "
244,12,"H.A. Acosta                                       "
245,13,"San Juan                                          "
246,13,"Anselmo Llorente                                  "
247,13,"Colima                                            "
248,13,"Cinco Esquinas                                    "
249,13,"Leon Xiii                                         "
250,13,"Cuatro Reinas                                     "
251,13,"Florida (Invu)                                    "
252,14,"San Vicente                                       "
253,14,"San Jeronimo                                      "
254,14,"La Trinidad (Guayabal)                            "
